game_id,posteam,season,pass_attempts,passing_yards,rushing_yards,away_rest,home_rest,stadium_id,stadium,weekday,home_team,away_team,home_score,away_score,is_international,location,is_thursday
2002_01_ARI_WAS,ARI,2002,37,187.0,70.0,7,7,WAS00,FedExField,Sunday,WAS,ARI,31,23,0,Home,0
2002_01_ARI_WAS,WAS,2002,41,327.0,122.0,7,7,WAS00,FedExField,Sunday,WAS,ARI,31,23,0,Home,0
2002_01_ATL_GB,ATL,2002,27,209.0,180.0,7,7,GNB00,Lambeau Field,Sunday,GB,ATL,37,34,0,Home,0
2002_01_ATL_GB,GB,2002,38,284.0,211.0,7,7,GNB00,Lambeau Field,Sunday,GB,ATL,37,34,0,Home,0
2002_01_BAL_CAR,BAL,2002,36,218.0,77.0,7,7,CAR00,Ericsson Stadium,Sunday,CAR,BAL,10,7,0,Home,0
2002_01_BAL_CAR,CAR,2002,21,136.0,145.0,7,7,CAR00,Ericsson Stadium,Sunday,CAR,BAL,10,7,0,Home,0
2002_01_DAL_HOU,DAL,2002,33,131.0,155.0,7,7,HOU00,Reliant Stadium,Sunday,HOU,DAL,19,10,0,Home,0
2002_01_DAL_HOU,HOU,2002,28,145.0,87.0,7,7,HOU00,Reliant Stadium,Sunday,HOU,DAL,19,10,0,Home,0
2002_01_DET_MIA,DET,2002,39,220.0,51.0,7,7,MIA00,Pro Player Stadium,Sunday,MIA,DET,49,21,0,Home,0
2002_01_DET_MIA,MIA,2002,27,207.0,182.0,7,7,MIA00,Pro Player Stadium,Sunday,MIA,DET,49,21,0,Home,0
2002_01_IND_JAX,IND,2002,32,211.0,104.0,7,7,JAX00,Alltel Stadium,Sunday,JAX,IND,25,28,0,Home,0
2002_01_IND_JAX,JAX,2002,37,228.0,118.0,7,7,JAX00,Alltel Stadium,Sunday,JAX,IND,25,28,0,Home,0
2002_01_KC_CLE,CLE,2002,41,359.0,59.0,7,7,CLE00,Cleveland Browns Stadium,Sunday,CLE,KC,39,40,0,Home,0
2002_01_KC_CLE,KC,2002,29,276.0,194.0,7,7,CLE00,Cleveland Browns Stadium,Sunday,CLE,KC,39,40,0,Home,0
2002_01_MIN_CHI,CHI,2002,34,297.0,80.0,7,7,CHI99,Memorial Stadium (Champaign),Sunday,CHI,MIN,27,23,0,Home,0
2002_01_MIN_CHI,MIN,2002,29,234.0,140.0,7,7,CHI99,Memorial Stadium (Champaign),Sunday,CHI,MIN,27,23,0,Home,0
2002_01_NO_TB,NO,2002,44,260.0,118.0,7,7,TAM00,Raymond James Stadium,Sunday,TB,NO,20,26,0,Home,0
2002_01_NO_TB,TB,2002,56,278.0,72.0,7,7,TAM00,Raymond James Stadium,Sunday,TB,NO,20,26,0,Home,0
2002_01_NYJ_BUF,BUF,2002,43,271.0,142.0,7,7,BUF00,Ralph Wilson Stadium,Sunday,BUF,NYJ,31,37,0,Home,0
2002_01_NYJ_BUF,NYJ,2002,34,210.0,73.0,7,7,BUF00,Ralph Wilson Stadium,Sunday,BUF,NYJ,31,37,0,Home,0
2002_01_PHI_TEN,PHI,2002,42,212.0,80.0,7,7,NAS00,The Coliseum,Sunday,TEN,PHI,27,24,0,Home,0
2002_01_PHI_TEN,TEN,2002,35,269.0,61.0,7,7,NAS00,The Coliseum,Sunday,TEN,PHI,27,24,0,Home,0
2002_01_PIT_NE,NE,2002,45,294.0,63.0,7,7,BOS00,Gillette Stadium,Monday,NE,PIT,30,14,0,Home,0
