player_id,player_display_name,team,position_group,season,week,gametime,offensive_snaps,team_offensive_snaps,snap_share,attempts,completions,passing_yards,passing_tds,interceptions,sacks,sack_yards,sack_fumbles,passing_air_yards,passing_yards_after_catch,air_yards_completion,air_yards_incompletion,pass_usage,pass_pct_of_offense,pass_air_yard_pct,pass_yards_after_catch_pct,pass_average_air_yards,carries,rushing_yards,rushing_tds,rushing_fumbles,rusher_usage,rusher_fumble_pct,rusher_yards_per_carry,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_air_yards,receiving_yards_after_catch,receiver_usage,receiver_efficiency,receiver_yac_pct,receiver_yards_per_reception,receiver_yac_to_air_yards,racr,target_share,air_yards_share,wopr,away_team,away_score,home_team,home_score,result,total,overtime,div_game,isaway,extended_away_games,intl,is_thursday,lead_changes,rest_days,travel_distance,player_display_name_season_avg,offensive_snaps_delta,team_offensive_snaps_delta,snap_share_delta,attempts_delta,completions_delta,passing_yards_delta,passing_tds_delta,interceptions_delta,sacks_delta,sack_yards_delta,sack_fumbles_delta,passing_air_yards_delta,passing_yards_after_catch_delta,air_yards_completion_delta,air_yards_incompletion_delta,pass_usage_delta,pass_pct_of_offense_delta,pass_air_yard_pct_delta,pass_yards_after_catch_pct_delta,pass_average_air_yards_delta,carries_delta,rushing_yards_delta,rushing_tds_delta,rushing_fumbles_delta,rusher_usage_delta,rusher_fumble_pct_delta,rusher_yards_per_carry_delta,receptions_delta,targets_delta,receiving_yards_delta,receiving_tds_delta,receiving_fumbles_delta,receiving_air_yards_delta,receiving_yards_after_catch_delta,receiver_usage_delta,receiver_efficiency_delta,receiver_yac_pct_delta,receiver_yards_per_reception_delta,receiver_yac_to_air_yards_delta,racr_delta,target_share_delta,air_yards_share_delta,wopr_delta
00-0019596,Tom Brady,TB,QB,2021,1,20:20:00,65.0,65.0,1.0,50,32,379.0,4,2.0,0.0,-0.0,0,446.0,176.0,6.34375,12.0,0.7692307692307693,0.7692307692307693,1.1767810026385224,0.4643799472295514,9.171875,0,0.0,0,0.0,0.0,,,0,0,0.0,0,0.0,0.0,0.0,0.0,,,,,,,,,DAL,29.0,TB,31.0,2.0,60.0,0.0,0.0,0,0,0,1,6.0,7.0,0.0,Tom Brady,-1.5,-4.25,0.04,7.710000000000001,3.469999999999999,66.29000000000002,1.4700000000000002,1.29,-1.29,-8.47,-0.18,104.58999999999996,26.94,0.4637500000000001,-0.6600000000000001,0.1392307692307692,0.1592307692307693,0.0567810026385222,-0.0056200527704485,-0.0981249999999995,-1.65,-4.76,-0.12,-0.06,-0.02,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
00-0019596,Tom Brady,TB,QB,2021,2,16:05:00,60.0,63.0,0.9523809523809524,36,24,276.0,5,0.0,3.0,17.0,1,347.0,88.0,7.83333333333333,13.2142857142857,0.6,0.5714285714285714,1.2572463768115942,0.3188405797101449,10.523809523809517,1,6.0,0,0.0,0.0166666666666666,0.0,6.0,0,0,0.0,0,0.0,0.0,0.0,0.0,,,,,,,,,ATL,25.0,TB,48.0,23.0,73.0,0.0,1.0,0,0,0,0,1.0,7.0,0.0,Tom Brady,-6.5,-6.25,-0.0076190476190476,-6.289999999999999,-4.530000000000001,-36.70999999999998,2.47,-0.71,1.71,8.53,0.8200000000000001,5.589999999999975,-61.06,1.9533333333333305,0.5542857142856992,-0.03,-0.0385714285714285,0.1372463768115941,-0.151159420289855,1.2538095238095153,-0.6499999999999999,1.2400000000000002,-0.12,-0.06,-0.0033333333333333,-0.08,1.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
00-0019596,Tom Brady,TB,QB,2021,3,16:25:00,73.0,73.0,1.0,55,41,432.0,1,0.0,3.0,21.0,1,382.0,238.0,4.65116279069767,13.4285714285714,0.7534246575342466,0.7534246575342466,0.8842592592592593,0.5509259259259259,9.039867109634535,3,14.0,1,0.0,0.0410958904109589,0.0,4.666666666666667,0,0,0.0,0,0.0,0.0,0.0,0.0,,,,,,,,,TB,24.0,LA,34.0,10.0,58.0,0.0,0.0,1,0,0,0,2.0,7.0,2158.17983829535,Tom Brady,6.5,3.75,0.04,12.71,12.47,119.29000000000002,-1.5299999999999998,-0.71,1.71,12.53,0.8200000000000001,40.589999999999975,88.94,-1.2288372093023296,0.7685714285714003,0.1234246575342465,0.1434246575342466,-0.2357407407407408,0.0809259259259259,-0.2301328903654642,1.35,9.24,0.88,-0.06,0.0210958904109589,-0.08,0.5166666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
00-0019596,Tom Brady,TB,QB,2021,4,20:20:00,77.0,77.0,1.0,43,22,269.0,0,0.0,1.0,8.0,0,459.0,109.0,8.375,15.1818181818182,0.5584415584415584,0.5584415584415584,1.7063197026022303,0.4052044609665427,11.7784090909091,4,3.0,0,0.0,0.0519480519480519,0.0,0.75,0,0,0.0,0,0.0,0.0,0.0,0.0,,,,,,,,,TB,19.0,NE,17.0,-2.0,36.0,0.0,0.0,1,0,0,0,7.0,7.0,1162.38537297325,Tom Brady,10.5,7.75,0.04,0.7100000000000009,-6.530000000000001,-43.70999999999998,-2.53,-0.71,-0.29,-0.4700000000000006,-0.18,117.58999999999996,-40.06,2.495,2.5218181818182,-0.0715584415584416,-0.0515584415584415,0.5863197026022304,-0.0647955390334572,2.508409090909101,2.35,-1.7599999999999998,-0.12,-0.06,0.0319480519480519,-0.08,-3.4000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
00-0019596,Tom Brady,TB,QB,2021,5,13:00:00,62.0,74.0,0.8378378378378378,41,30,411.0,5,0.0,2.0,15.0,0,421.0,225.0,6.29411764705882,18.2307692307692,0.6612903225806451,0.5540540540540541,1.024330900243309,0.5474452554744526,12.26244343891401,1,13.0,0,0.0,0.0161290322580645,0.0,13.0,0,0,0.0,0,0.0,0.0,0.0,0.0,,,,,,,,,MIA,17.0,TB,45.0,28.0,62.0,0.0,0.0,0,1,0,0,4.0,7.0,0.0,Tom Brady,-4.5,4.75,-0.1221621621621621,-1.2899999999999991,1.4699999999999989,98.29000000000002,2.47,-0.71,0.71,6.529999999999999,-0.18,79.58999999999997,75.94,0.4141176470588199,5.570769230769201,0.0312903225806451,-0.0559459459459459,-0.0956690997566911,0.0774452554744525,2.9924434389140107,-0.6499999999999999,8.24,-0.12,-0.06,-0.0038709677419354,-0.08,8.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
00-0019596,Tom Brady,TB,QB,2021,6,20:20:00,75.0,75.0,1.0,42,34,297.0,2,1.0,0.0,-0.0,0,283.0,191.0,3.11764705882353,16.875,0.56,0.56,0.9528619528619529,0.6430976430976431,9.996323529411764,4,1.0,0,0.0,0.0533333333333333,0.0,0.25,0,0,0.0,0,0.0,0.0,0.0,0.0,,,,,,,,,TB,28.0,PHI,22.0,-6.0,50.0,0.0,0.0,1,0,0,1,2.0,4.0,928.941111667264,Tom Brady,8.5,5.75,0.04,-0.2899999999999991,5.469999999999999,-15.70999999999998,-0.5299999999999998,0.29,-1.29,-8.47,-0.18,-58.410000000000025,41.94,-2.76235294117647,4.215,-0.0699999999999999,-0.0499999999999999,-0.1671380471380472,0.173097643097643,0.7263235294117649,2.35,-3.76,-0.12,-0.06,0.0333333333333333,-0.08,-3.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
00-0019596,Tom Brady,TB,QB,2021,7,16:25:00,65.0,73.0,0.8904109589041096,36,20,211.0,4,0.0,0.0,-0.0,0,281.0,75.0,5.90909090909091,10.7368421052632,0.5538461538461539,0.4931506849315068,1.3317535545023698,0.3554502369668246,8.322966507177055,0,0.0,0,0.0,0.0,,,0,0,0.0,0,0.0,0.0,0.0,0.0,,,,,,,,,CHI,3.0,TB,38.0,35.0,41.0,0.0,0.0,0,0,0,0,1.0,7.0,0.0,Tom Brady,-1.5,3.75,-0.0695890410958903,-6.289999999999999,-8.530000000000001,-101.70999999999998,1.4700000000000002,-0.71,-1.29,-8.47,-0.18,-60.410000000000025,-74.06,0.0290909090909101,-1.9231578947368,-0.0761538461538461,-0.1168493150684931,0.2117535545023696,-0.1145497630331753,-0.9470334928229444,-1.65,-4.76,-0.12,-0.06,-0.02,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
00-0019596,Tom Brady,TB,QB,2021,8,16:25:00,61.0,61.0,1.0,40,28,375.0,4,2.0,3.0,25.0,1,340.0,205.0,6.07142857142857,13.0,0.6557377049180327,0.6557377049180327,0.9066666666666666,0.5466666666666666,9.535714285714285,1,2.0,0,0.0,0.0163934426229508,0.0,2.0,0,0,0.0,0,0.0,0.0,0.0,0.0,,,,,,,,,TB,27.0,NO,36.0,9.0,63.0,0.0,1.0,1,0,0,0,4.0,6.0,481.246431665138,Tom Brady,-5.5,-8.25,0.04,-2.289999999999999,-0.5300000000000011,62.29000000000002,1.4700000000000002,1.29,1.71,16.53,0.8200000000000001,-1.410000000000025,55.94,0.1914285714285704,0.3399999999999998,0.0257377049180327,0.0457377049180327,-0.2133333333333334,0.0766666666666666,0.2657142857142851,-0.6499999999999999,-2.76,-0.12,-0.06,-0.0036065573770491,-0.08,-2.1500000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
00-0019596,Tom Brady,TB,QB,2021,10,13:00:00,48.0,48.0,1.0,34,23,220.0,2,2.0,0.0,-0.0,0,198.0,113.0,4.45833333333333,8.11111111111111,0.7083333333333334,0.7083333333333334,0.9,0.5136363636363637,6.2847222222222205,1,2.0,0,0.0,0.0208333333333333,0.0,2.0,0,0,0.0,0,0.0,0.0,0.0,0.0,,,,,,,,,TB,19.0,WAS,29.0,10.0,48.0,0.0,0.0,1,0,0,0,1.0,14.0,824.264301046837,Tom Brady,-18.5,-21.25,0.04,-8.29,-5.530000000000001,-92.70999999999998,-0.5299999999999998,1.29,-1.29,-8.47,-0.18,-143.41000000000005,-36.06,-1.4216666666666695,-4.548888888888889,0.0783333333333333,0.0983333333333333,-0.22,0.0436363636363636,-2.985277777777779,-0.6499999999999999,-2.76,-0.12,-0.06,0.0008333333333333,-0.08,-2.1500000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
00-0019596,Tom Brady,TB,QB,2021,11,20:15:00,70.0,79.0,0.8860759493670886,46,30,307.0,2,1.0,0.0,-0.0,0,344.0,128.0,5.5,10.3125,0.6571428571428571,0.5822784810126582,1.1205211726384363,0.4169381107491857,7.90625,1,10.0,0,0.0,0.0142857142857142,0.0,10.0,0,0,0.0,0,0.0,0.0,0.0,0.0,,,,,,,,,NYG,10.0,TB,30.0,20.0,40.0,0.0,0.0,0,0,0,0,2.0,15.0,0.0,Tom Brady,3.5,9.75,-0.0739240506329114,3.710000000000001,1.4699999999999989,-5.70999999999998,-0.5299999999999998,0.29,-1.29,-8.47,-0.18,2.589999999999975,-21.06,-0.3799999999999999,-2.3475,0.0271428571428571,-0.0277215189873417,0.0005211726384364,-0.0530618892508142,-1.3637499999999996,-0.6499999999999999,5.24,-0.12,-0.06,-0.0057142857142857,-0.08,5.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
