player_id,player_display_name,position_group,recent_team,season,week,season_type,opponent_team,attempts,completions,passing_yards,passing_tds,interceptions,sacks,sack_yards,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_2pt_conversions,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_2pt_conversions,racr,target_share,air_yards_share,wopr,team,depth_chart_position,jersey_number,football_name,status,status_description_abbr,game_type,player_name,position,gameday,weekday,gametime,location,stadium_id,stadium,away_team,away_score,home_team,home_score,result,total,overtime,old_game_id,gsis,away_rest,home_rest,div_game,roof,surface,temp,wind,isaway,is_international,player_name_flat,extended_away_games,week_after_intl,intl,is_thursday,game_id,offensive_snaps,team_offensive_snaps,defensive_snaps,team_defensive_snaps,special_team_snaps,team_special_team_snaps,lead_changes,travel_distance_away,travel_distance_home,air_yards_completion,air_yards_incompletion,yards_after_catch
00-0019596,Tom Brady,QB,TB,2021,1,REG,DAL,50,32,379.0,4,2.0,0.0,-0.0,0,0,446.0,176.0,22.0,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,,,,,TB,QB,12.0,Tom,ACT,A01,REG,T.Brady,QB,2021-09-09,Thursday,20:20:00,Home,TAM00,Raymond James Stadium,DAL,29.0,TB,31.0,2.0,60.0,0.0,2021090900.0,58503.0,7.0,7.0,0.0,outdoors,grass ,82.0,9.0,0,0,TomBrady,0,0,0,1,2021090900.0,65.0,65.0,0.0,84.0,0.0,34.0,6.0,934.018326213942,0.0,6.34375,12.0,
00-0019596,Tom Brady,QB,TB,2021,2,REG,ATL,36,24,276.0,5,0.0,3.0,17.0,1,1,347.0,88.0,14.0,0,1,6.0,0,0.0,0.0,1.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,,,,,TB,QB,12.0,Tom,ACT,A01,REG,T.Brady,QB,2021-09-19,Sunday,16:05:00,Home,TAM00,Raymond James Stadium,ATL,25.0,TB,48.0,23.0,73.0,0.0,2021091910.0,58530.0,7.0,10.0,1.0,outdoors,grass ,85.0,0.0,0,0,TomBrady,0,0,0,0,2021091910.0,60.0,63.0,0.0,72.0,0.0,30.0,1.0,417.331516869076,0.0,7.83333333333333,13.2142857142857,
00-0019596,Tom Brady,QB,TB,2021,3,REG,LA,55,41,432.0,1,0.0,3.0,21.0,1,0,382.0,238.0,24.0,0,3,14.0,1,0.0,0.0,1.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,,,,,TB,QB,12.0,Tom,ACT,A01,REG,T.Brady,QB,2021-09-26,Sunday,16:25:00,Home,LAX01,SoFi Stadium,TB,24.0,LA,34.0,10.0,58.0,0.0,2021092611.0,58547.0,7.0,7.0,0.0,dome,matrixturf,60.0,0.0,1,0,TomBrady,0,0,0,0,2021092611.0,73.0,73.0,0.0,65.0,0.0,30.0,2.0,2158.17983829535,0.0,4.65116279069767,13.4285714285714,
00-0019596,Tom Brady,QB,TB,2021,4,REG,NE,43,22,269.0,0,0.0,1.0,8.0,0,0,459.0,109.0,12.0,0,4,3.0,0,0.0,0.0,1.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,,,,,TB,QB,12.0,Tom,ACT,A01,REG,T.Brady,QB,2021-10-03,Sunday,20:20:00,Home,BOS00,Gillette Stadium,TB,19.0,NE,17.0,-2.0,36.0,0.0,2021100313.0,58565.0,7.0,7.0,0.0,outdoors,fieldturf,62.0,4.0,1,0,TomBrady,0,0,0,0,2021100313.0,77.0,77.0,0.0,59.0,0.0,29.0,7.0,1162.38537297325,0.0,8.375,15.1818181818182,
00-0019596,Tom Brady,QB,TB,2021,5,REG,MIA,41,30,411.0,5,0.0,2.0,15.0,0,0,421.0,225.0,24.0,0,1,13.0,0,0.0,0.0,1.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,,,,,TB,QB,12.0,Tom,ACT,A01,REG,T.Brady,QB,2021-10-10,Sunday,13:00:00,Home,TAM00,Raymond James Stadium,MIA,17.0,TB,45.0,28.0,62.0,0.0,2021101007.0,58575.0,7.0,7.0,0.0,outdoors,grass ,84.0,7.0,0,0,TomBrady,1,0,0,0,2021101007.0,62.0,74.0,0.0,54.0,0.0,28.0,4.0,196.056193040942,0.0,6.29411764705882,18.2307692307692,
00-0019596,Tom Brady,QB,TB,2021,6,REG,PHI,42,34,297.0,2,1.0,0.0,-0.0,0,0,283.0,191.0,17.0,0,4,1.0,0,0.0,0.0,1.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,,,,,TB,QB,12.0,Tom,ACT,A01,REG,T.Brady,QB,2021-10-14,Thursday,20:20:00,Home,PHI00,Lincoln Financial Field,TB,28.0,PHI,22.0,-6.0,50.0,0.0,2021101400.0,58583.0,4.0,4.0,0.0,outdoors,grass ,74.0,8.0,1,0,TomBrady,0,0,0,1,2021101400.0,75.0,75.0,0.0,52.0,0.0,24.0,2.0,928.941111667264,0.0,3.11764705882353,16.875,
00-0019596,Tom Brady,QB,TB,2021,7,REG,CHI,36,20,211.0,4,0.0,0.0,-0.0,0,0,281.0,75.0,12.0,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,,,,,TB,QB,12.0,Tom,ACT,A01,REG,T.Brady,QB,2021-10-24,Sunday,16:25:00,Home,TAM00,Raymond James Stadium,CHI,3.0,TB,38.0,35.0,41.0,0.0,2021102409.0,58607.0,7.0,10.0,0.0,outdoors,grass ,83.0,7.0,0,0,TomBrady,0,0,0,0,2021102409.0,65.0,73.0,0.0,66.0,0.0,25.0,1.0,1007.0959136828,0.0,5.90909090909091,10.7368421052632,
00-0019596,Tom Brady,QB,TB,2021,8,REG,NO,40,28,375.0,4,2.0,3.0,25.0,1,1,340.0,205.0,13.0,0,1,2.0,0,0.0,0.0,1.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,,,,,TB,QB,12.0,Tom,ACT,A01,REG,T.Brady,QB,2021-10-31,Sunday,16:25:00,Home,NOR00,Mercedes-Benz Superdome,TB,27.0,NO,36.0,9.0,63.0,0.0,2021103111.0,58622.0,7.0,6.0,1.0,dome,sportturf,60.0,0.0,1,0,TomBrady,0,0,0,0,2021103111.0,61.0,61.0,0.0,76.0,0.0,29.0,4.0,481.246431665138,0.0,6.07142857142857,13.0,
00-0019596,Tom Brady,QB,TB,2021,10,REG,WAS,34,23,220.0,2,2.0,0.0,-0.0,0,0,198.0,113.0,8.0,0,1,2.0,0,0.0,0.0,1.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,,,,,TB,QB,12.0,Tom,ACT,A01,REG,T.Brady,QB,2021-11-14,Sunday,13:00:00,Home,WAS00,FedExField,TB,19.0,WAS,29.0,10.0,48.0,0.0,2021111406.0,58646.0,14.0,14.0,0.0,outdoors,grass ,47.0,8.0,1,0,TomBrady,0,0,0,0,2021111406.0,48.0,48.0,0.0,73.0,0.0,25.0,1.0,824.264301046837,0.0,4.45833333333333,8.11111111111111,
00-0019596,Tom Brady,QB,TB,2021,11,REG,NYG,46,30,307.0,2,1.0,0.0,-0.0,0,0,344.0,128.0,16.0,0,1,10.0,0,0.0,0.0,1.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,,,,,TB,QB,12.0,Tom,ACT,A01,REG,T.Brady,QB,2021-11-22,Monday,20:15:00,Home,TAM00,Raymond James Stadium,NYG,10.0,TB,30.0,20.0,40.0,0.0,2021112200.0,58667.0,15.0,8.0,0.0,outdoors,grass ,68.0,6.0,0,0,TomBrady,0,0,0,0,2021112200.0,70.0,79.0,0.0,58.0,0.0,25.0,2.0,1009.74948076671,0.0,5.5,10.3125,
